Symbol,Company,Industry
CRGS,Curaegis Technologies Inc,Auto Components
CRI,"Carter's, Inc.","Textiles, Apparel & Luxury Goods"
CRMT,"America's Car-Mart, Inc.",Specialty Retail
CROX,"Crocs, Inc.","Textiles, Apparel & Luxury Goods"
CRWE,Crown Equity Holdings Inc,Media
CRWS,"Crown Crafts, Inc.","Textiles, Apparel & Luxury Goods"
CSHEF,China Enterprises Limited,"Hotels, Restaurants & Leisure"
CSS,CSS Industries Inc,Household Durables
CSV,"Carriage Services, Inc.",Diversified Consumer Services
CTB,Cooper Tire & Rubber Co,Auto Components
CTHR,"Charles & Colvard, Ltd.","Textiles, Apparel & Luxury Goods"
CTIB,CTI Industries Corp.,Household Durables
CTRN,"Citi Trends, Inc.",Specialty Retail
CTRP,Ctrip.Com International Ltd (ADR),Internet & Direct Marketing Retail
CTTAY,Continental AG (ADR),Auto Components
CTXIF,China Linen Textile Industry Ltd,"Textiles, Apparel & Luxury Goods"
CUK,Carnival plc (ADR),"Hotels, Restaurants & Leisure"
CULP,"Culp, Inc.","Textiles, Apparel & Luxury Goods"
CVCO,"Cavco Industries, Inc.",Household Durables
CVNA,Carvana Co,Specialty Retail
CWH,Camping World Holdings Inc,Specialty Retail
CXDC,China XD Plastics Co Ltd,Auto Components
CYLO,Cyclon Capital Corporation,Media
CZR,Caesars Entertainment Corp,"Hotels, Restaurants & Leisure"
DAAT,DAC Technologies Group,Leisure Products
DAN,Dana Inc,Auto Components
DAVE,"Famous Dave's of America, Inc.","Hotels, Restaurants & Leisure"
DBMM,Digital Brand Media & Marketing Grp Inc,Media
DBOXF,D-BOX TECHNOLOGIES INC,Household Durables
DDAIF,Daimler AG,Automobiles
DDDA,Digital Day Agency Inc,Auto Components
DDE,"Dover Downs Gaming & Entertainment, Inc.","Hotels, Restaurants & Leisure"
DDS,"Dillard's, Inc.",Multiline Retail
DECK,Deckers Outdoor Corp,"Textiles, Apparel & Luxury Goods"
DEER,"Deer Consumer Products, Inc.",Household Durables
DELTY,Delta Galil Industries (ADR),"Textiles, Apparel & Luxury Goods"
DENN,Denny's Corp,"Hotels, Restaurants & Leisure"
DEST,Destination Maternity Corp,Specialty Retail
DEWM,Dewmar International BMC Inc,Media
DFBG,Differential Brands Group Inc,"Textiles, Apparel & Luxury Goods"
DFRG,Del Frisco's Restaurant Group Inc,"Hotels, Restaurants & Leisure"
DG,Dollar General Corp.,Multiline Retail
DGSE,"DGSE Companies, Inc.",Specialty Retail
DHI,D. R. Horton Inc,Household Durables
DIIBF,Dorel Industries Inc (USA),Household Durables
DIN,Dine Brands Global Inc,"Hotels, Restaurants & Leisure"
DIS,Walt Disney Co,Media
DISCA,Discovery Inc,Media
DISH,DISH Network Corp,Media
DIT,AMCON Distributing Co,Distributors
DJCO,Daily Journal Corporation,Media
DKS,Dicks Sporting Goods Inc,Specialty Retail
DL,China Distance Education Hldgs Ltd (ADR),Diversified Consumer Services
DLA,"Delta Apparel, Inc.","Textiles, Apparel & Luxury Goods"
DLIAQ,"dELiA*s, Inc.",Internet & Direct Marketing Retail
DLMAF,DOLLARAMA INC,Multiline Retail
DLPM,Development Capital Group Inc,Internet & Direct Marketing Retail
DLTH,Duluth Holdings Inc,Internet & Direct Marketing Retail
DLTR,"Dollar Tree, Inc.",Multiline Retail
DNKN,Dunkin Brands Group Inc,"Hotels, Restaurants & Leisure"
