Symbol,Company,Industry
CIHD,Changda International Holdings Inc,Chemicals
CILS,Lash Inc,Metals & Mining
CINR,Ciner Resources LP,Chemicals
CJIMF,GUNPOINT EXPLORATION LTD,Metals & Mining
CKVLF,COPPER CREEK GOLD CORP,Metals & Mining
CLF,Cleveland-Cliffs Inc,Metals & Mining
CLHRF,Coral Gold Resources Ltd. (USA),Metals & Mining
CLW,Clearwater Paper Corp,Paper & Forest Products
CMC,Commercial Metals Company,Metals & Mining
CMCL,Caledonia Mining Corporation Plc (USA),Metals & Mining
CMCXF,CMC METALS LTD,Metals & Mining
CMDRF,COMMANDER RESOURCES LTD,Metals & Mining
CMLGF,CANICKEL MINING LTD,Metals & Mining
CMNFY,"Corimon, C.A. (ADR)",Chemicals
CMP,"Compass Minerals International, Inc.",Metals & Mining
CMT,"Core Molding Technologies, Inc.",Chemicals
CNOBF,CANADIAN OREBODIES INC,Metals & Mining
CNRIF,CONDOR RESOURCES INC,Metals & Mining
CNSUF,CANASIL RESOURCES INC,Metals & Mining
COPRF,COPPER ONE INC,Metals & Mining
CPAC,Cementos Pacasmayo ADR,Construction Materials
CPKOF,CASTLE PEAK MINING LTD,Metals & Mining
CPNVF,COPPER NORTH MINING CORP,Metals & Mining
CPSL,"China Precision Steel, Inc.",Metals & Mining
CRCUF,Canarc Resource Corp. (USA),Metals & Mining
CRGP,Calissio Resources Group Inc,Metals & Mining
CRH,CRH PLC (ADR),Construction Materials
CRJI,China Runji Cement Inc,Construction Materials
CRLRQ,Crailar Technologies Inc,Chemicals
CROJF,CORO MINING CORP,Metals & Mining
CRPOF,CEAPRO INC,Chemicals
CRS,Carpenter Technology Corporation,Metals & Mining
CRSXF,CORSA COAL CORP,Metals & Mining
CRZHF,ROCKWEALTH RES CORP,Metals & Mining
CSGH,China Sun Group High Tech Co,Chemicals
CSRNF,CANSTAR RESOURCES INC,Metals & Mining
CSTM,Constellium NV,Metals & Mining
CTGO,Contango ORE Inc,Metals & Mining
CTLE,Nano Labs Corp,Chemicals
CTMCF,CANTERRA MINERALS CORP,Metals & Mining
CTNXF,CORNERSTONE CAPITAL RES INC,Metals & Mining
CTPMF,CONTINENTAL PRECIOUS MINERLS,Metals & Mining
CTTD,CO2 Tech Ltd.,Chemicals
CTXDF,CANTEX MINE DEVELOPMENT CORP,Metals & Mining
CUAU,Casablanca Mining Ltd,Metals & Mining
CUIRF,CURRIE ROSE RESOURCES INC,Metals & Mining
CWMCF,CONSOLIDATED WOODJAM COPPER,Metals & Mining
CX,Cemex SAB de CV (ADR),Construction Materials
CYMHF,CYMAT TECHNOLOGIES LTD,Metals & Mining
CZICF,Canadian Zinc Corp,Metals & Mining
CZSVF,BERKWOOD RESOURCES LTD,Metals & Mining
CZXMF,CANADA ZINC METALS CORP,Metals & Mining
DANR,Dana Resources,Metals & Mining
DBGF,Panex Resources Inc,Metals & Mining
DBLVF,DOUBLEVIEW CAPITAL CORP,Metals & Mining
DCGD,Discovery Gold Corp,Metals & Mining
DDDX,3DX Industries Inc,Metals & Mining
DDNFF,ADAMERA MINERALS CORP,Metals & Mining
DECXF,DECADE RESOURCES LTD,Metals & Mining
DELT,Delta Technology Holdings Ltd,Chemicals
DFIFF,DIAMOND FIELDS RSOURCES,Metals & Mining
DIMN,Diamante Minerals Inc,Metals & Mining
DIOSF,DIOS EXPLORATION INC,Metals & Mining
DJIFF,DAJIN RESOURCES CORP,Metals & Mining
DMDD,Diamond Discoveries International Corp.,Metals & Mining
DNGDF,DYNACOR GOLD MINES INC,Metals & Mining
DRD,DRDGOLD Ltd. (ADR),Metals & Mining
DSCR,Discovery Minerals Ltd,Metals & Mining
DTII,Defense Technologies International Corp,Metals & Mining
DTRC,Dakota Territory Resource Corp,Metals & Mining
DUCP,ARX Gold Corp,Metals & Mining
DUVNF,DURAN VENTURES INC,Metals & Mining
DWDP,DowDuPont Inc,Chemicals
DYNR,Dynaresource Inc,Metals & Mining
EANRF,EASTMAIN RESOURCES INC,Metals & Mining
ECL,Ecolab Inc.,Chemicals
ECNRF,WORLDWIDE RES CORP COM,Metals & Mining
ECOB,Eco Building Products Inc,Paper & Forest Products
ECPN,"El Capitan Precious Metals, Inc.",Metals & Mining
ECRTF,COLOMBIA CREST GOLD CORP,Metals & Mining
ECSNF,ECOSYNTHETIX INC,Chemicals
EGDD,Eastern Goldfields Inc,Metals & Mining
EGI,Entree Resources Ltd,Metals & Mining
EGO,Eldorado Gold Corp (USA),Metals & Mining
EGPLF,EAGLE PLAINS RESOURCES LTD,Metals & Mining
ELCGF,ELECTRA STONE LTD,Metals & Mining
ELRRF,ELORO RESOURCES LTD,Metals & Mining
EMN,Eastman Chemical Company,Chemicals
EMRRF,EVRIM RESOURCES CORP,Metals & Mining
ENDGF,ENDURANCE GOLD CORP,Metals & Mining
ENZB,EnzymeBioSystems,Chemicals
EQTRF,ALTAMIRA GOLD CORP COM,Metals & Mining
EQTXF,EQUITORIAL EXPLORATION CORP,Metals & Mining
ERKAF,EUREKA RESOURCES INC,Metals & Mining
ERVFF,ERIN VENTURES INC,Metals & Mining
ESGI,EnSurge Inc,Metals & Mining
ESKYF,ESKAY MINING CORP,Metals & Mining
ESRI,"Eastern Resources, Inc.",Metals & Mining
ETCK,EnerTeck Corp,Chemicals
ETEK,Eco-Tek Group Inc,Chemicals
ETFLF,EASTFIELD RESOURCES LTD,Metals & Mining
EUUNF,Azarga Metals Corp (USA),Metals & Mining
EVOGF,Evolving Gold Corp,Metals & Mining
EXK,Endeavour Silver Corp,Metals & Mining
EXP,"Eagle Materials, Inc.",Construction Materials
EXRG,Ecologix Resource Group Inc,Paper & Forest Products
