Symbol,Company,Industry
HOOB,"Holobeam, Inc.",Real Estate Management & Development
HPP,Hudson Pacific Properties Inc,Equity Real Estate Investment Trusts (REITs)
HPT,Hospitality Properties Trust,Equity Real Estate Investment Trusts (REITs)
HR,Healthcare Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
HST,Host Hotels and Resorts Inc,Equity Real Estate Investment Trusts (REITs)
HT,Hersha Hospitality Trust,Equity Real Estate Investment Trusts (REITs)
HT-C,Hersha Hospitality Trust,Equity Real Estate Investment Trusts (REITs)
HT-D,Hersha Hospitality Trust,Equity Real Estate Investment Trusts (REITs)
HT-E,Hersha Hospitality Trust,Equity Real Estate Investment Trusts (REITs)
HTA,Healthcare Trust Of America Inc,Equity Real Estate Investment Trusts (REITs)
HTSC,Here To Serve Holding Corp,Real Estate Management & Development
IIPR,Innovative Industrial Properties Inc,Equity Real Estate Investment Trusts (REITs)
IIPR-A,Innovative Industrial Properties Inc,Equity Real Estate Investment Trusts (REITs)
IIPZF,Interrent Real Estate Investment Tr-Unit,Equity Real Estate Investment Trusts (REITs)
INN,Summit Hotel Properties Inc,Equity Real Estate Investment Trusts (REITs)
INN-D,Summit Hotel Properties Inc,Equity Real Estate Investment Trusts (REITs)
INN-E,Summit Hotel Properties Inc,Equity Real Estate Investment Trusts (REITs)
INTG,InterGroup Corp,Real Estate Management & Development
INVH,Invitation Homes Inc,Equity Real Estate Investment Trusts (REITs)
IOR,Income Opportunity Realty Investors Inc,Real Estate Management & Development
IRCP,IRSA Propiedades Comerciales SA (ADR),Real Estate Management & Development
IRET,Investors Real Estate Trust,Equity Real Estate Investment Trusts (REITs)
IRET-C,Investors Real Estate Trust,Equity Real Estate Investment Trusts (REITs)
IRM,Iron Mountain Inc,Equity Real Estate Investment Trusts (REITs)
IRS,Irsa Inversiones y Rprsntcins SA (ADR),Real Estate Management & Development
IRT,Independence Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
JCAP,Jernigan Capital Inc,Equity Real Estate Investment Trusts (REITs)
JCAP-B,Jernigan Capital Inc,Equity Real Estate Investment Trusts (REITs)
JLL,Jones Lang LaSalle Inc,Real Estate Management & Development
JOE,St. Joe Co,Real Estate Management & Development
KANP,Kaanapali Land LLC,Real Estate Management & Development
KBRS,KBS Real Estate Investment Trust Inc,Equity Real Estate Investment Trusts (REITs)
KIM,Kimco Realty Corp,Equity Real Estate Investment Trusts (REITs)
KRC,Kilroy Realty Corp,Equity Real Estate Investment Trusts (REITs)
KRG,Kite Realty Group Trust,Equity Real Estate Investment Trusts (REITs)
KW,Kennedy-Wilson Holdings Inc,Real Estate Management & Development
LAACZ,Laa Co Ltd A California LP,Real Estate Management & Development
LAMR,Lamar Advertising Co,Equity Real Estate Investment Trusts (REITs)
LAND,Gladstone Land Corp,Equity Real Estate Investment Trusts (REITs)
LANDP,Gladstone Land Corp,Equity Real Estate Investment Trusts (REITs)
LHO,LaSalle Hotel Properties,Equity Real Estate Investment Trusts (REITs)
LHO-I,LaSalle Hotel Properties,Equity Real Estate Investment Trusts (REITs)
LHO-J,LaSalle Hotel Properties,Equity Real Estate Investment Trusts (REITs)
LMRK,Landmark Infrastructure Partners LP,Real Estate Management & Development
LMRKO,Landmark Infrastructure Partners LP,Real Estate Management & Development
LMRKP,Landmark Infrastructure Partners LP,Real Estate Management & Development
LPT,Liberty Property Trust,Equity Real Estate Investment Trusts (REITs)
LRTEF,LANESBOROUGH REIT,Equity Real Estate Investment Trusts (REITs)
LSI,Life Storage Inc,Equity Real Estate Investment Trusts (REITs)
LTC,LTC Properties Inc,Equity Real Estate Investment Trusts (REITs)
LXP,Lexington Realty Trust,Equity Real Estate Investment Trusts (REITs)
