Symbol,Company,Industry
CART,Carolina Trust Bancshares Inc,Banks
CARV,Carver Bancorp Inc,Thrifts & Mortgage Finance
CASH,Meta Financial Group Inc.,Thrifts & Mortgage Finance
CATC,Cambridge Bancorp,Banks
CATY,Cathay General Bancorp,Banks
CB,Chubb Ltd,Insurance
CBAN,Colony Bankcorp Inc,Banks
CBCA,Crown Baus Capital Corp,Diversified Financial Services
CBCO,"Coastal Banking Company, Inc.",Banks
CBFV,CB Financial Services Inc,Banks
CBKM,"Consumers Bancorp, Inc.",Banks
CBOE,Cboe Global Markets Inc,Capital Markets
CBSH,"Commerce Bancshares, Inc.",Banks
CBU,"Community Bank System, Inc.",Banks
CCBC,Chino Commercial Bancorp (CA),Banks
CCBG,"Capital City Bank Group, Inc.",Banks
CCCR,China Commercial Credit Inc,Diversified Financial Services
CCFH,CCF Holding Company,Banks
CCFN,CCFNB Bancorp Inc,Banks
CCNE,CNB Financial Corp,Banks
CEFC,Commercial National Financial Corp,Banks
CFBI,Community First Bancshares Inc,Banks
CFBK,Central Federal Corporation,Thrifts & Mortgage Finance
CFFI,C&F Financial Corp,Banks
CFFN,"Capitol Federal Financial, Inc.",Thrifts & Mortgage Finance
CFG,Citizens Financial Group Inc,Banks
CFGX,Capital Financial Global Inc,Diversified Financial Services
CFNB,California First National Bancorp,Banks
CFOK,Community First Bancorporation,Banks
CFR,"Cullen/Frost Bankers, Inc.",Banks
CFR-A,Cullen/Frost Bankers Inc,Banks
CG,The Carlyle Group LP,Capital Markets
CGRA,CGrowth Capital Inc,Capital Markets
CHBH,"Croghan Bancshares, Inc.",Banks
CHCO,City Holding Company,Banks
CHFC,Chemical Financial Corporation,Banks
CHFI,China Finance Inc,Capital Markets
CHFN,Charter Financial Corp,Thrifts & Mortgage Finance
CHMG,Chemung Financial Corp.,Banks
CHMI,Cherry Hill Mortgage Investment Corp,Mortgage Real Estate Investment Trusts (REITs)
CHMI-A,Cherry Hill Mortgage Investment Corp,Mortgage Real Estate Investment Trusts (REITs)
CHWWF,CHESSWOOD GROUP LTD,Diversified Financial Services
CIA,"Citizens, Inc.",Insurance
CIBH,Cib Marine Bancshares Inc,Banks
CIM,Chimera Investment Corporation,Mortgage Real Estate Investment Trusts (REITs)
CIM-A,Chimera Investment Corp,Mortgage Real Estate Investment Trusts (REITs)
CIM-B,Chimera Investment Corp,Mortgage Real Estate Investment Trusts (REITs)
CINF,Cincinnati Financial Corporation,Insurance
CIT,CIT Group Inc.,Banks
CIVB,Civista Bancshares Inc,Banks
CIWV,Citizens Financial Corp/DE/,Banks
CIZN,Citizens Holding Company,Banks
CKFC,Clarkston Financial Corporation,Banks
CLDB,CORTLAND BANCORP INC,Banks
CLDC,China Lending Corp,Consumer Finance
CLKFF,CLARKE INC,Capital Markets
CM,Canadian Imperial Bank of Commerce (USA),Banks
CMA,Comerica Incorporated,Banks
